CaseId,Timestamp,Activity,Amount
item_67_1,2026-12-14T22:11:09,Place Order,1344
item_67_1,2026-12-17T12:03:09,Send Invoice,1344
item_67_1,2026-12-22T01:13:09,Receive Payment,1344
item_67_1,2026-12-21T14:24:09,Check Availability,1344
item_67_1,2026-12-22T14:18:09,Split Item,1344
item_67_1,2026-12-23T08:30:09,Pick Item,269
item_67_1,2026-12-23T08:58:09,Pack Items,269
item_67_1,2026-12-23T09:06:09,Store Package,269
item_67_1,2026-12-23T10:32:09,Load Package,269
item_67_1,2026-12-27T10:32:09,Deliver Package,269
item_67_1,2026-12-29T08:36:09,Check Availability,1075
item_67_1,2026-12-30T08:24:09,Split Item,1075
item_67_1,2026-12-30T11:11:09,Pick Item,269
item_67_1,2026-12-30T11:29:09,Pack Items,269
item_67_1,2026-12-30T11:46:09,Store Package,269
item_67_1,2026-12-30T16:37:09,Load Package,269
item_67_1,2027-01-04T16:37:09,Deliver Package,269
item_67_1,2027-01-05T08:21:09,Check Availability,806
item_67_1,2027-01-06T08:34:09,Split Item,806
item_67_1,2027-01-06T11:08:09,Pick Item,269
item_67_1,2027-01-06T11:55:09,Pack Items,269
item_67_1,2027-01-06T12:06:09,Store Package,269
item_67_1,2027-01-06T12:42:09,Load Package,269
item_67_1,2027-01-09T12:42:09,Deliver Package,269
item_67_1,2027-01-07T17:10:09,Check Availability,537
item_67_1,2027-01-08T17:02:09,Split Item,537
item_67_1,2027-01-09T08:14:09,Pick Item,269
item_67_1,2027-01-11T08:32:09,Pack Items,269
item_67_1,2027-01-11T08:38:09,Store Package,269
item_67_1,2027-01-11T10:40:09,Load Package,269
item_67_1,2027-01-14T10:40:09,Deliver Package,269
item_67_1,2027-01-11T08:52:09,Check Availability,268
item_67_1,2027-01-12T10:06:09,Pick Item,268
item_67_1,2027-01-12T10:27:09,Pack Items,268
item_67_1,2027-01-12T10:36:09,Store Package,268
item_67_1,2027-01-12T12:05:09,Load Package,268
item_67_1,2027-01-16T12:05:09,Deliver Package,268
