CaseId,Timestamp,Activity,Amount
item_1_1_3371,2025-06-02T22:11:25,Place Order,268
item_1_1_3371,2025-06-05T09:24:25,Send Invoice,268
item_1_1_3371,2025-06-07T22:15:25,Receive Payment,268
item_1_1_3371,2025-06-04T14:03:25,Check Availability,268
item_1_1_3371,2025-06-05T14:05:25,Split Item,268
item_1_1_3371,2025-06-05T14:30:25,Pick Item,268
item_1_2_9630,2025-06-02T22:11:25,Place Order,244
item_1_2_9630,2025-06-05T09:24:25,Send Invoice,244
item_1_2_9630,2025-06-07T22:15:25,Receive Payment,244
item_1_2_9630,2025-06-04T14:02:25,Check Availability,244
item_1_2_9630,2025-06-05T14:01:25,Split Item,244
item_1_2_9630,2025-06-05T14:19:25,Pick Item,244
item_1_3_5146,2025-06-02T22:11:25,Place Order,191
item_1_3_5146,2025-06-05T09:24:25,Send Invoice,191
item_1_3_5146,2025-06-07T22:15:25,Receive Payment,191
item_1_3_5146,2025-06-04T14:03:25,Check Availability,191
item_1_3_5146,2025-06-05T14:06:25,Split Item,191
item_1_3_5146,2025-06-05T14:18:25,Pick Item,191
item_1_4_1273,2025-06-02T22:11:25,Place Order,210
item_1_4_1273,2025-06-05T09:24:25,Send Invoice,210
item_1_4_1273,2025-06-07T22:15:25,Receive Payment,210
item_1_4_1273,2025-06-04T14:03:25,Check Availability,210
item_1_4_1273,2025-06-05T14:13:25,Split Item,210
item_1_4_1273,2025-06-05T14:20:25,Pick Item,210
item_1_1_3371,2025-06-05T14:50:25,Pack Items,268
item_1_2_9630,2025-06-05T14:50:25,Pack Items,244
item_1_3_5146,2025-06-05T14:50:25,Pack Items,191
item_1_4_1273,2025-06-05T14:50:25,Pack Items,210
item_1_1_3371,2025-06-05T15:08:25,Store Package,268
item_1_2_9630,2025-06-05T15:08:25,Store Package,244
item_1_3_5146,2025-06-05T15:08:25,Store Package,191
item_1_4_1273,2025-06-05T15:08:25,Store Package,210
item_1_1_3371,2025-06-06T08:49:25,Load Package,268
item_1_2_9630,2025-06-06T08:49:25,Load Package,244
item_1_3_5146,2025-06-06T08:49:25,Load Package,191
item_1_4_1273,2025-06-06T08:49:25,Load Package,210
item_1_1_3371,2025-06-09T08:49:25,Deliver Package,268
item_1_2_9630,2025-06-09T08:49:25,Deliver Package,244
item_1_3_5146,2025-06-09T08:49:25,Deliver Package,191
item_1_4_1273,2025-06-09T08:49:25,Deliver Package,210
item_1_1_1927,2025-06-02T22:11:25,Place Order,268
item_1_1_1927,2025-06-05T09:24:25,Send Invoice,268
item_1_1_1927,2025-06-07T22:15:25,Receive Payment,268
item_1_1_1927,2025-06-04T14:03:25,Check Availability,268
item_1_1_1927,2025-06-05T14:05:25,Split Item,268
item_1_1_1927,2025-06-09T08:52:25,Check Availability,268
item_1_1_1927,2025-06-10T08:59:25,Split Item,268
item_1_1_1927,2025-06-10T11:03:25,Pick Item,268
item_1_2_6172,2025-06-02T22:11:25,Place Order,244
item_1_2_6172,2025-06-05T09:24:25,Send Invoice,244
item_1_2_6172,2025-06-07T22:15:25,Receive Payment,244
